month,service,service_label,zone_id,zone,borough,service_zone,is_airport,has_geometry,centroid_lon,centroid_lat,trips,revenue,fare_revenue,distance_mi,duration_s,airport_trips,tipped_trips,tip_observable_trips,tip_observable_tip,tip_observable_fare,unknown_zone_trips
2021-07-01,fhvhv,High Volume For Hire Vehicle,17,Bedford,Brooklyn,Boro Zone,false,true,-73.949905,40.691507,25987,792661.72,668448.13,115944.14,36255045.0,629,6777,25987,32964.27,668448.13,15
2021-07-01,fhvhv,High Volume For Hire Vehicle,18,Bedford Park,Bronx,Boro Zone,false,true,-73.890184,40.867682,5711,172972.34,145959.77,25244.77,7913283.0,136,1506,5711,7212.31,145959.77,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,19,Bellerose,Queens,Boro Zone,false,true,-73.726655,40.735487,2133,63521.48,53495.19,9279.09,2874183.0,329,570,2133,2677.91,53495.19,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,20,Belmont,Bronx,Boro Zone,false,true,-73.885867,40.857779,3383,102828.84,87080.62,15089.35,4727448.0,84,831,3383,3879.55,87080.62,4
2021-07-01,fhvhv,High Volume For Hire Vehicle,21,Bensonhurst East,Brooklyn,Boro Zone,false,true,-73.983538,40.601429,1757,53450.73,45214.51,7839.7,2453339.0,49,446,1757,2039.32,45214.51,1
2021-07-01,fhvhv,High Volume For Hire Vehicle,22,Bensonhurst West,Brooklyn,Boro Zone,false,true,-73.995259,40.612218,2429,73564.22,62117.48,10719.52,3373599.0,49,629,2429,2956.11,62117.48,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,23,Bloomfield/Emerson Hill,Staten Island,Boro Zone,false,true,-74.170885,40.606448,4600,139310.27,117528.48,20412.97,6352857.0,117,1175,4600,5762.41,117528.48,7
2021-07-01,fhvhv,High Volume For Hire Vehicle,24,Bloomingdale,Manhattan,Yellow Zone,false,true,-73.965479,40.801971,2373,76783.81,59753.93,10313.51,3226229.0,65,646,2373,3016.59,59753.93,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,25,Boerum Hill,Brooklyn,Boro Zone,false,true,-73.986114,40.685634,12342,375390.6,316183.48,54761.03,17141103.0,298,3256,12342,15913.68,316183.48,9
2021-07-01,fhvhv,High Volume For Hire Vehicle,26,Borough Park,Brooklyn,Boro Zone,false,true,-73.988661,40.630949,7410,222361.75,187428.86,32310.75,10145048.0,189,1961,7410,9168.28,187428.86,6
2021-07-01,fhvhv,High Volume For Hire Vehicle,27,Breezy Point/Fort Tilden/Riis Beach,Queens,Boro Zone,false,true,-73.906912,40.559135,82,2452.46,2050.29,349.59,111312.0,8,22,82,119.31,2050.29,1
2021-07-01,fhvhv,High Volume For Hire Vehicle,28,Briarwood/Jamaica Hills,Queens,Boro Zone,false,true,-73.808729,40.711596,3625,110141.91,92867.6,16120.25,5026923.0,553,947,3625,4419.41,92867.6,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,29,Brighton Beach,Brooklyn,Boro Zone,false,true,-73.961217,40.580922,1877,57012.35,48085.69,8342.22,2603819.0,40,480,1877,2379.83,48085.69,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,30,Broad Channel,Queens,Boro Zone,false,true,-73.821928,40.603687,98,2828.26,2394.52,429.53,124355.0,14,26,98,108.11,2394.52,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,31,Bronx Park,Bronx,Boro Zone,false,true,-73.875476,40.857746,228,6504.16,5388.89,913.07,287451.0,8,73,228,351.95,5388.89,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,32,Bronxdale,Bronx,Boro Zone,false,true,-73.864901,40.864002,2048,63679.07,53900.91,9339.69,2949761.0,47,515,2048,2574.76,53900.91,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,33,Brooklyn Heights,Brooklyn,Boro Zone,false,true,-73.99525,40.695798,3310,100391.42,84455.16,14626.83,4571705.0,67,903,3310,4423.74,84455.16,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,34,Brooklyn Navy Yard,Brooklyn,Boro Zone,false,true,-73.971189,40.700856,9714,297631.72,250749.06,43467.11,13623203.0,257,2575,9714,12712.95,250749.06,7
2021-07-01,fhvhv,High Volume For Hire Vehicle,35,Brownsville,Brooklyn,Boro Zone,false,true,-73.910258,40.664003,2392,72612.85,61335.56,10581.64,3335071.0,49,604,2392,2975.73,61335.56,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,36,Bushwick North,Brooklyn,Boro Zone,false,true,-73.91771,40.700522,4106,124730.86,105167.95,18296.72,5683419.0,88,1087,4106,5266.76,105167.95,1
2021-07-01,fhvhv,High Volume For Hire Vehicle,37,Bushwick South,Brooklyn,Boro Zone,false,true,-73.922237,40.694994,19679,600306.74,506807.39,87985.64,27483467.0,439,5091,19679,24673.45,506807.39,13
2021-07-01,fhvhv,High Volume For Hire Vehicle,38,Cambria Heights,Queens,Boro Zone,false,true,-73.735554,40.694341,2766,83903.39,70738.47,12207.89,3841738.0,385,700,2766,3475.95,70738.47,1
2021-07-01,fhvhv,High Volume For Hire Vehicle,39,Canarsie,Brooklyn,Boro Zone,false,true,-73.899735,40.638037,6227,190516.28,160278.43,27841.14,8686539.0,145,1603,6227,8388.9,160278.43,4
2021-07-01,fhvhv,High Volume For Hire Vehicle,40,Carroll Gardens,Brooklyn,Boro Zone,false,true,-73.995956,40.679199,11871,360549.09,303673.97,52797.91,16410515.0,279,3174,11871,15436.67,303673.97,11
2021-07-01,fhvhv,High Volume For Hire Vehicle,41,Central Harlem,Manhattan,Yellow Zone,false,true,-73.951292,40.804334,3630,120186.54,94068.18,16376.0,5103153.0,95,907,3630,4368.15,94068.18,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,42,Central Harlem North,Manhattan,Yellow Zone,false,true,-73.940772,40.818257,2141,70265.29,55031.9,9578.96,2976831.0,44,516,2141,2536.28,55031.9,1
2021-07-01,fhvhv,High Volume For Hire Vehicle,43,Central Park,Manhattan,Yellow Zone,false,true,-73.965555,40.782477,102,2824.63,2195.67,378.52,111082.0,0,24,102,87.65,2195.67,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,44,Charleston/Tottenville,Staten Island,Boro Zone,false,true,-74.233535,40.525491,4862,147596.78,124662.52,21514.19,6776690.0,109,1235,4862,5970.46,124662.52,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,45,Chinatown,Manhattan,Yellow Zone,false,true,-73.998151,40.712459,2523,83438.97,65015.32,11321.2,3519185.0,64,665,2523,3364.69,65015.32,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,46,City Island,Bronx,Boro Zone,false,true,-73.781988,40.849086,2988,93007.45,78725.45,13593.98,4320086.0,60,763,2988,3640.05,78725.45,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,47,Claremont/Bathgate,Bronx,Boro Zone,false,true,-73.900317,40.842748,8177,248563.04,209453.51,36358.4,11336798.0,208,2161,8177,10521.34,209453.51,4
2021-07-01,fhvhv,High Volume For Hire Vehicle,48,Clinton East,Manhattan,Yellow Zone,false,true,-73.989845,40.762253,11113,369462.56,288529.24,50347.66,15637984.0,257,2887,11113,14479.22,288529.24,11
2021-07-01,fhvhv,High Volume For Hire Vehicle,49,Clinton Hill,Brooklyn,Boro Zone,false,true,-73.962363,40.687967,3842,115412.15,97263.22,16931.02,5231396.0,106,1009,3842,4769.38,97263.22,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,50,Clinton West,Manhattan,Yellow Zone,false,true,-73.995135,40.766238,5788,190666.22,148544.53,25785.61,8045717.0,137,1521,5788,7680.39,148544.53,5
2021-07-01,fhvhv,High Volume For Hire Vehicle,51,Co-Op City,Bronx,Boro Zone,false,true,-73.828263,40.873972,2688,82920.19,70168.62,12073.92,3846919.0,73,670,2688,3151.27,70168.62,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,52,Cobble Hill,Brooklyn,Boro Zone,false,true,-73.996724,40.686651,5377,164875.86,138918.7,24125.29,7540466.0,138,1423,5377,6847.41,138918.7,5
2021-07-01,fhvhv,High Volume For Hire Vehicle,53,College Point,Queens,Boro Zone,false,true,-73.842813,40.780912,2142,66780.11,56347.47,9857.39,3063117.0,306,594,2142,2827.25,56347.47,1
2021-07-01,fhvhv,High Volume For Hire Vehicle,54,Columbia Street,Brooklyn,Boro Zone,false,true,-74.002911,40.687201,3151,97319.86,81755.91,14152.11,4454381.0,74,880,3151,4461.57,81755.91,1
2021-07-01,fhvhv,High Volume For Hire Vehicle,55,Coney Island,Brooklyn,Boro Zone,false,true,-73.987944,40.576961,1739,53280.61,45033.62,7840.37,2442267.0,43,456,1739,2131.29,45033.62,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,56,Corona,Queens,Boro Zone,false,true,-73.858368,40.74235,2392,74353.91,62441.82,10751.85,3421631.0,358,655,2392,3392.14,62441.82,1
2021-07-01,fhvhv,High Volume For Hire Vehicle,57,Corona,Queens,Boro Zone,false,false,,,4313,129527.16,109129.56,18877.57,5893921.0,625,1141,4313,5470.37,109129.56,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,58,Country Club,Bronx,Boro Zone,false,true,-73.820393,40.841452,1967,60839.88,51119.43,8898.33,2776212.0,58,526,1967,2717.18,51119.43,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,59,Crotona Park,Bronx,Boro Zone,false,true,-73.894986,40.83855,128,3394.62,2822.79,486.95,144329.0,3,33,128,193.89,2822.79,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,60,Crotona Park East,Bronx,Boro Zone,false,true,-73.8859,40.83399,6785,207221.36,174384.93,30425.9,9417416.0,158,1811,6785,8952.57,174384.93,8
2021-07-01,fhvhv,High Volume For Hire Vehicle,61,Crown Heights North,Brooklyn,Boro Zone,false,true,-73.939287,40.67447,21520,661590.5,557791.25,97113.84,30260031.0,559,5551,21520,27714.57,557791.25,18
2021-07-01,fhvhv,High Volume For Hire Vehicle,62,Crown Heights South,Brooklyn,Boro Zone,false,true,-73.948788,40.666541,3510,104144.89,87965.76,15279.06,4720452.0,87,905,3510,4247.46,87965.76,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,63,Cypress Hills,Brooklyn,Boro Zone,false,true,-73.878173,40.68384,1895,57859.74,48815.34,8525.54,2636543.0,42,482,1895,2403.53,48815.34,1
2021-07-01,fhvhv,High Volume For Hire Vehicle,64,Douglaston,Queens,Boro Zone,false,true,-73.739337,40.760615,2650,80624.0,67916.36,11782.75,3678145.0,385,701,2650,3546.1,67916.36,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,65,Downtown Brooklyn/MetroTech,Brooklyn,Boro Zone,false,true,-73.986086,40.695337,38574,1179899.21,995041.75,172715.37,53998498.0,970,10058,38574,49052.98,995041.75,43
2021-07-01,fhvhv,High Volume For Hire Vehicle,66,DUMBO/Vinegar Hill,Brooklyn,Boro Zone,false,true,-73.985702,40.702259,2076,62580.43,52773.53,9217.72,2836292.0,55,555,2076,2598.03,52773.53,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,67,Dyker Heights,Brooklyn,Boro Zone,false,true,-74.013802,40.619619,3016,89325.67,75129.98,12929.05,4048052.0,60,807,3016,3937.84,75129.98,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,68,East Chelsea,Manhattan,Yellow Zone,false,true,-73.999918,40.748427,6784,223841.05,174761.44,30250.56,9497063.0,149,1748,6784,8689.15,174761.44,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,69,East Concourse/Concourse Village,Bronx,Boro Zone,false,true,-73.91503,40.831416,2375,73010.51,61512.02,10751.02,3327230.0,65,632,2375,3060.69,61512.02,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,70,East Elmhurst,Queens,Boro Zone,false,true,-73.868395,40.763352,4064,126055.69,106170.93,18481.39,5776974.0,583,1055,4064,5413.91,106170.93,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,71,East Flatbush/Farragut,Brooklyn,Boro Zone,false,true,-73.937966,40.644288,1939,60216.74,50867.15,8829.86,2777094.0,35,511,1939,2533.96,50867.15,1
2021-07-01,fhvhv,High Volume For Hire Vehicle,72,East Flatbush/Remsen Village,Brooklyn,Boro Zone,false,true,-73.922251,40.652364,2697,82641.84,69524.25,12160.73,3752220.0,67,712,2697,3592.07,69524.25,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,73,East Flushing,Queens,Boro Zone,false,true,-73.807294,40.754109,5872,184749.37,156099.77,27139.23,8553531.0,819,1520,5872,7439.72,156099.77,5
2021-07-01,fhvhv,High Volume For Hire Vehicle,74,East Harlem North,Manhattan,Yellow Zone,false,true,-73.937346,40.801169,2637,89303.12,69922.47,12183.2,3822273.0,71,691,2637,3374.38,69922.47,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,75,East Harlem South,Manhattan,Yellow Zone,false,true,-73.94575,40.790011,3644,119996.46,93594.18,16275.79,5064734.0,79,976,3644,4770.33,93594.18,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,76,East New York,Brooklyn,Boro Zone,false,true,-73.87682,40.660934,1787,55816.41,47129.56,8197.98,2574346.0,33,446,1787,2344.96,47129.56,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,77,East New York/Pennsylvania Avenue,Brooklyn,Boro Zone,false,true,-73.895364,40.666559,2383,71222.03,60011.2,10370.85,3237546.0,59,614,2383,2962.0,60011.2,1
2021-07-01,fhvhv,High Volume For Hire Vehicle,78,East Tremont,Bronx,Boro Zone,false,true,-73.885522,40.84496,4638,141689.79,119346.82,20763.19,6460743.0,111,1221,4638,6091.33,119346.82,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,79,East Village,Manhattan,Yellow Zone,false,true,-73.985937,40.72762,10327,342591.94,267493.27,46631.51,14495165.0,271,2650,10327,13254.03,267493.27,6
2021-07-01,fhvhv,High Volume For Hire Vehicle,80,East Williamsburg,Brooklyn,Boro Zone,false,true,-73.936794,40.71537,151618,4629980.46,3904327.29,678389.6,211597119.0,3726,39322,151618,192820.27,3904327.29,103
2021-07-01,fhvhv,High Volume For Hire Vehicle,81,Eastchester,Bronx,Boro Zone,false,true,-73.836644,40.880935,7652,236660.88,199408.36,34701.86,10842420.0,197,1969,7652,9897.26,199408.36,7
2021-07-01,fhvhv,High Volume For Hire Vehicle,82,Elmhurst,Queens,Boro Zone,false,true,-73.877118,40.739495,16276,492428.33,415599.1,72292.86,22436245.0,2330,4156,16276,20172.5,415599.1,8
2021-07-01,fhvhv,High Volume For Hire Vehicle,83,Elmhurst/Maspeth,Queens,Boro Zone,false,true,-73.892173,40.738324,3717,113156.99,95584.65,16613.85,5176433.0,570,959,3717,4704.58,95584.65,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,84,Eltingville/Annadale/Prince's Bay,Staten Island,Boro Zone,false,true,-74.187679,40.528686,1910,58470.9,49254.43,8565.75,2669145.0,50,507,1910,2521.31,49254.43,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,85,Erasmus,Brooklyn,Boro Zone,false,true,-73.951623,40.646116,2674,81848.35,68835.22,11951.28,3732040.0,75,736,2674,3590.37,68835.22,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,86,Far Rockaway,Queens,Boro Zone,false,true,-73.755243,40.602433,5227,159709.16,134683.11,23490.98,7281774.0,793,1345,5227,6650.77,134683.11,5
2021-07-01,fhvhv,High Volume For Hire Vehicle,87,Financial District North,Manhattan,Yellow Zone,false,true,-74.007496,40.706808,2493,81573.89,63530.38,11009.91,3435955.0,49,681,2493,3341.82,63530.38,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,88,Financial District South,Manhattan,Yellow Zone,false,true,-74.011515,40.703358,3325,108971.56,85091.01,14737.62,4611045.0,89,846,3325,4056.72,85091.01,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,89,Flatbush/Ditmas Park,Brooklyn,Boro Zone,false,true,-73.960968,40.6379,10489,319700.44,269336.35,46751.73,14591474.0,256,2777,10489,13514.98,269336.35,11
2021-07-01,fhvhv,High Volume For Hire Vehicle,90,Flatiron,Manhattan,Yellow Zone,false,true,-73.996971,40.742279,5254,170931.48,132999.82,23069.59,7170916.0,136,1371,5254,6837.0,132999.82,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,91,Flatlands,Brooklyn,Boro Zone,false,true,-73.930097,40.626272,4125,129690.2,109592.7,19113.88,5991116.0,89,1040,4125,5245.78,109592.7,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,92,Flushing,Queens,Boro Zone,false,true,-73.828859,40.761101,15394,465610.05,392998.11,68246.22,21239223.0,2199,4009,15394,19060.21,392998.11,10
2021-07-01,fhvhv,High Volume For Hire Vehicle,93,Flushing Meadows-Corona Park,Queens,Boro Zone,false,true,-73.840865,40.740674,2844,85122.54,71881.13,12457.64,3875487.0,413,734,2844,3452.39,71881.13,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,94,Fordham South,Bronx,Boro Zone,false,true,-73.899536,40.858155,6243,193669.54,163681.78,28578.11,8899406.0,157,1583,6243,7765.75,163681.78,6
2021-07-01,fhvhv,High Volume For Hire Vehicle,95,Forest Hills,Queens,Boro Zone,false,true,-73.847669,40.721432,13561,410974.48,346580.62,60311.36,18711218.0,1924,3524,13561,17127.14,346580.62,5
2021-07-01,fhvhv,High Volume For Hire Vehicle,96,Forest Park/Highland Park,Queens,Boro Zone,false,true,-73.871561,40.697002,3435,102042.22,85878.65,14839.9,4620594.0,525,914,3435,4394.22,85878.65,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,97,Fort Greene,Brooklyn,Boro Zone,false,true,-73.974882,40.690787,23303,721358.8,608065.91,105855.26,33070069.0,556,6069,23303,30446.74,608065.91,13
2021-07-01,fhvhv,High Volume For Hire Vehicle,98,Fresh Meadows,Queens,Boro Zone,false,true,-73.777253,40.734463,2472,75679.85,63754.47,11134.25,3445071.0,363,659,2472,3194.11,63754.47,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,99,Freshkills Park,Staten Island,Boro Zone,false,true,-74.186421,40.576773,190,5802.24,4928.98,861.1,266852.0,4,41,190,207.27,4928.98,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,100,Garment District,Manhattan,Yellow Zone,false,true,-73.988787,40.753513,9033,299850.86,233765.62,40633.37,12688612.0,218,2431,9033,12082.67,233765.62,9
2021-07-01,fhvhv,High Volume For Hire Vehicle,101,Glen Oaks,Queens,Boro Zone,false,true,-73.711025,40.745993,3060,93250.14,78663.74,13648.6,4264691.0,441,780,3060,3844.83,78663.74,1
2021-07-01,fhvhv,High Volume For Hire Vehicle,102,Glendale,Queens,Boro Zone,false,true,-73.875737,40.703546,8630,260815.27,220218.85,38167.82,11915385.0,1315,2167,8630,10438.68,220218.85,10
2021-07-01,fhvhv,High Volume For Hire Vehicle,103,Governor's Island/Ellis Island/Liberty Island,Manhattan,Yellow Zone,false,true,-74.023552,40.690112,98,2818.09,2140.79,352.87,112509.0,2,27,98,141.68,2140.79,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,104,Governor's Island/Ellis Island/Liberty Island,Manhattan,Yellow Zone,false,false,,,169,5595.36,4318.43,775.83,227938.0,8,53,169,243.74,4318.43,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,105,Governor's Island/Ellis Island/Liberty Island,Manhattan,Yellow Zone,false,false,,,100,3505.39,2742.44,483.41,150477.0,3,29,100,142.58,2742.44,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,106,Gowanus,Brooklyn,Boro Zone,false,true,-73.990648,40.673513,2762,81167.74,68249.94,11809.3,3652411.0,78,753,2762,3537.33,68249.94,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,107,Gramercy,Manhattan,Yellow Zone,false,true,-73.984052,40.736824,8436,275663.93,215606.76,37236.57,11700832.0,176,2086,8436,10187.65,215606.76,5
2021-07-01,fhvhv,High Volume For Hire Vehicle,108,Gravesend,Brooklyn,Boro Zone,false,true,-73.981431,40.588404,2101,66108.4,55772.04,9740.14,3045128.0,50,557,2101,2745.59,55772.04,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,109,Great Kills,Staten Island,Boro Zone,false,true,-74.15089,40.551862,3318,100872.56,85469.38,14850.8,4632540.0,61,791,3318,3797.76,85469.38,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,110,Great Kills Park,Staten Island,Boro Zone,false,true,-74.128343,40.54578,64,2075.78,1738.27,310.7,94144.0,3,18,64,85.12,1738.27,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,111,Green-Wood Cemetery,Brooklyn,Boro Zone,false,true,-73.990234,40.652137,100,3263.2,2709.49,486.87,146086.0,5,24,100,183.24,2709.49,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,112,Greenpoint,Brooklyn,Boro Zone,false,true,-73.94954,40.729506,16932,511658.45,431828.23,74835.18,23361992.0,424,4330,16932,20714.5,431828.23,10
2021-07-01,fhvhv,High Volume For Hire Vehicle,113,Greenwich Village North,Manhattan,Yellow Zone,false,true,-73.994305,40.732579,2323,77370.51,60562.5,10539.09,3293525.0,57,596,2323,2874.91,60562.5,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,114,Greenwich Village South,Manhattan,Yellow Zone,false,true,-73.99738,40.72834,3106,103844.72,81202.34,14080.3,4431169.0,61,830,3106,4063.87,81202.34,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,115,Grymes Hill/Clifton,Staten Island,Boro Zone,false,true,-74.087839,40.617971,6983,213323.05,180369.11,31343.69,9785293.0,150,1731,6983,8382.21,180369.11,5
2021-07-01,fhvhv,High Volume For Hire Vehicle,116,Hamilton Heights,Manhattan,Yellow Zone,false,true,-73.948522,40.827013,2584,83114.44,64834.35,11245.29,3484077.0,64,667,2584,3062.09,64834.35,1
2021-07-01,fhvhv,High Volume For Hire Vehicle,117,Hammels/Arverne,Queens,Boro Zone,false,true,-73.789623,40.594059,3531,106230.63,89707.69,15534.59,4848829.0,505,911,3531,4298.13,89707.69,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,118,Heartland Village/Todt Hill,Staten Island,Boro Zone,false,true,-74.132985,40.586555,1858,56363.15,47508.21,8308.31,2556595.0,46,487,1858,2365.74,47508.21,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,119,Highbridge,Bronx,Boro Zone,false,true,-73.926158,40.837827,2532,77005.03,64821.49,11319.09,3493521.0,47,689,2532,3437.7,64821.49,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,120,Highbridge Park,Manhattan,Yellow Zone,false,true,-73.930183,40.846667,174,5965.62,4668.49,825.69,253645.0,2,46,174,255.9,4668.49,0
2021-07-01,fhvhv,High Volume For Hire Vehicle,121,Hillcrest/Pomonok,Queens,Boro Zone,false,true,-73.802444,40.728333,2066,62021.16,52356.13,9072.66,2825835.0,300,540,2066,2492.21,52356.13,2
2021-07-01,fhvhv,High Volume For Hire Vehicle,122,Hollis,Queens,Boro Zone,false,true,-73.761137,40.710639,3243,100397.28,84718.77,14797.21,4598887.0,463,870,3243,4172.92,84718.77,1
2021-07-01,fhvhv,High Volume For Hire Vehicle,123,Homecrest,Brooklyn,Boro Zone,false,true,-73.964334,40.599954,9667,294895.97,248319.33,43064.84,13462870.0,240,2641,9667,12728.46,248319.33,10
2021-07-01,fhvhv,High Volume For Hire Vehicle,124,Howard Beach,Queens,Boro Zone,false,true,-73.844918,40.658248,2305,68846.35,58148.77,10035.9,3141819.0,321,600,2305,2818.88,58148.77,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,125,Hudson Sq,Manhattan,Yellow Zone,false,true,-74.007486,40.72629,4069,134076.62,104730.98,18248.17,5664150.0,115,1032,4069,4982.74,104730.98,3
2021-07-01,fhvhv,High Volume For Hire Vehicle,126,Hunts Point,Bronx,Boro Zone,false,true,-73.885537,40.812074,1947,58844.33,49465.04,8586.4,2669230.0,54,526,1947,2544.84,49465.04,1
2021-07-01,fhvhv,High Volume For Hire Vehicle,127,Inwood,Manhattan,Yellow Zone,false,true,-73.919308,40.866075,3065,102137.42,79864.22,13902.03,4341516.0,78,775,3065,3871.48,79864.22,3
