service,day_of_week,day_name,hour,trips,revenue,tipped_trips,tip_observable_trips,tip_observable_tip,tip_observable_fare
fhvhv,1,Monday,0,185306,4753119.23,48338,185306,189478.25,3819728.88
fhvhv,1,Monday,1,116043,2905697.58,30159,116043,115349.52,2330715.8
fhvhv,1,Monday,2,77353,1915367.72,20232,77353,75858.81,1535947.26
fhvhv,1,Monday,3,58001,1433273.49,15116,58001,56907.09,1149419.96
fhvhv,1,Monday,4,53147,1301133.54,13975,53147,51632.93,1041980.83
fhvhv,1,Monday,5,87297,2190974.68,22638,87297,87014.36,1758220.36
fhvhv,1,Monday,6,204115,5447232.7,52972,204115,216830.8,4389789.34
fhvhv,1,Monday,7,378214,11243527.78,98353,378214,452501.29,9114770.9
fhvhv,1,Monday,8,513763,16904578.95,133270,513763,676847.52,13783078.53
fhvhv,1,Monday,9,483288,16273700.04,125343,483288,656545.39,13279814.83
fhvhv,1,Monday,10,417081,13846243.74,108327,417081,554882.94,11295854.39
fhvhv,1,Monday,11,427320,13902021.5,111550,427320,561591.82,11323857.22
fhvhv,1,Monday,12,461090,14984392.68,119753,461090,601524.47,12208559.66
fhvhv,1,Monday,13,465438,15238452.08,120826,465438,613431.15,12418132.25
fhvhv,1,Monday,14,495582,16614534.08,128736,495582,670402.9,13557389.28
fhvhv,1,Monday,15,544228,18799775.17,141252,544228,757667.75,15362630.05
fhvhv,1,Monday,16,602203,21417300.46,156593,602203,862727.1,17529733.76
fhvhv,1,Monday,17,718489,25973206.68,186917,718489,1051693.07,21266068.7
fhvhv,1,Monday,18,737377,25741373.54,191455,737377,1036910.4,21046789.26
fhvhv,1,Monday,19,650359,21204713.05,169259,650359,853951.82,17278234.26
fhvhv,1,Monday,20,552920,16757629.49,143734,552920,671330.51,13604799.16
fhvhv,1,Monday,21,474302,13462882.32,123294,474302,537970.83,10886159.44
fhvhv,1,Monday,22,388245,10475814.51,100757,388245,417198.21,8442809.13
fhvhv,1,Monday,23,271935,7112367.32,70835,271935,284137.13,5722164.9
fhvhv,2,Tuesday,0,201549,5169352.99,52215,201549,203840.82,4153183.27
fhvhv,2,Tuesday,1,127037,3186586.63,33158,127037,125923.52,2556357.36
fhvhv,2,Tuesday,2,84547,2090473.48,21965,84547,82126.51,1675969.97
fhvhv,2,Tuesday,3,63769,1558738.07,16686,63769,62863.04,1247695.89
fhvhv,2,Tuesday,4,58380,1439589.3,15222,58380,57452.33,1152621.0
fhvhv,2,Tuesday,5,95423,2395551.7,24751,95423,94743.17,1922061.12
fhvhv,2,Tuesday,6,222882,5951471.05,57866,222882,238060.69,4793210.72
fhvhv,2,Tuesday,7,413940,12333624.13,107759,413940,494469.12,10001007.4
fhvhv,2,Tuesday,8,562271,18494723.14,146255,562271,744716.5,15072599.55
fhvhv,2,Tuesday,9,530694,17885589.5,138371,530694,723495.15,14595273.22
fhvhv,2,Tuesday,10,457019,15184759.14,118994,457019,612198.98,12381567.41
fhvhv,2,Tuesday,11,468112,15273807.5,121219,468112,611883.34,12449046.53
fhvhv,2,Tuesday,12,504036,16382166.06,130690,504036,657711.56,13345460.09
fhvhv,2,Tuesday,13,508631,16663255.0,132202,508631,671135.42,13581704.58
fhvhv,2,Tuesday,14,539131,18054904.25,140145,539131,728080.48,14731710.06
fhvhv,2,Tuesday,15,593396,20512013.09,153851,593396,826028.82,16761031.25
fhvhv,2,Tuesday,16,658110,23387204.55,171278,658110,945687.88,19134939.9
fhvhv,2,Tuesday,17,785905,28417007.99,204088,785905,1144922.47,23270829.46
fhvhv,2,Tuesday,18,805675,28127171.59,209619,805675,1136136.32,22993966.58
fhvhv,2,Tuesday,19,711275,23185010.68,185206,711275,937499.29,18885024.25
fhvhv,2,Tuesday,20,604521,18407067.23,157022,604521,738873.51,14940476.45
fhvhv,2,Tuesday,21,518822,14744449.64,134760,518822,587915.22,11924349.87
fhvhv,2,Tuesday,22,423992,11432375.86,110636,423992,457613.87,9214598.08
fhvhv,2,Tuesday,23,296170,7736286.1,77222,296170,307732.33,6224504.86
fhvhv,3,Wednesday,0,212732,5475004.55,55280,212732,217686.54,4400412.94
fhvhv,3,Wednesday,1,134548,3370059.6,34931,134548,132649.01,2704439.67
fhvhv,3,Wednesday,2,89351,2224276.94,23337,89351,89777.4,1782010.69
fhvhv,3,Wednesday,3,67202,1657704.07,17292,67202,64355.47,1329166.93
fhvhv,3,Wednesday,4,61628,1517347.55,15959,61628,59500.43,1216360.13
fhvhv,3,Wednesday,5,101002,2527581.7,26270,101002,100459.67,2027013.51
fhvhv,3,Wednesday,6,235222,6269814.03,61036,235222,247220.88,5052032.45
fhvhv,3,Wednesday,7,436831,13010704.91,113435,436831,521045.43,10549450.53
fhvhv,3,Wednesday,8,593485,19530104.01,154560,593485,786402.53,15923105.76
fhvhv,3,Wednesday,9,559376,18835117.77,145417,559376,759082.06,15371411.01
fhvhv,3,Wednesday,10,480957,15951073.51,124756,480957,639392.24,13011155.32
fhvhv,3,Wednesday,11,493208,16084715.35,128829,493208,647739.4,13106102.78
fhvhv,3,Wednesday,12,531387,17215470.97,138272,531387,694921.98,14022732.81
fhvhv,3,Wednesday,13,538250,17644681.31,140195,538250,710332.15,14377411.7
fhvhv,3,Wednesday,14,571361,19148640.41,148421,571361,769235.75,15625815.36
fhvhv,3,Wednesday,15,628151,21697614.99,163492,628151,873494.31,17728309.3
fhvhv,3,Wednesday,16,694230,24664323.41,180853,694230,998900.21,20176065.93
fhvhv,3,Wednesday,17,828654,29872474.82,214898,828654,1205813.04,24459614.66
fhvhv,3,Wednesday,18,852444,29814600.24,221539,852444,1202664.19,24377823.42
fhvhv,3,Wednesday,19,751574,24510407.83,195605,751574,988791.97,19969170.01
fhvhv,3,Wednesday,20,638758,19396106.36,165874,638758,774942.42,15743387.04
fhvhv,3,Wednesday,21,548669,15569682.85,142251,548669,619140.22,12592286.45
fhvhv,3,Wednesday,22,448689,12104599.66,116927,448689,481415.27,9759532.97
fhvhv,3,Wednesday,23,312853,8193428.25,80992,312853,324449.08,6594492.59
fhvhv,4,Thursday,0,227494,5832050.05,59269,227494,232638.33,4686684.32
fhvhv,4,Thursday,1,143846,3601472.27,37388,143846,142605.07,2889266.62
fhvhv,4,Thursday,2,96054,2373572.41,24875,96054,92967.65,1904031.69
fhvhv,4,Thursday,3,71887,1774082.72,18644,71887,69800.25,1422420.29
fhvhv,4,Thursday,4,65840,1624032.78,17200,65840,64149.12,1301412.37
fhvhv,4,Thursday,5,107596,2681223.45,28051,107596,106171.81,2152352.09
fhvhv,4,Thursday,6,250785,6696405.41,65314,250785,267135.47,5396246.76
fhvhv,4,Thursday,7,466893,13899322.86,121008,466893,556374.13,11272377.7
fhvhv,4,Thursday,8,635982,20932776.08,165416,635982,846961.68,17058124.15
fhvhv,4,Thursday,9,597279,20140199.48,155522,597279,810424.64,16437710.63
fhvhv,4,Thursday,10,515536,17123877.91,134135,515536,687909.47,13965356.85
fhvhv,4,Thursday,11,526415,17190986.44,136675,526415,690800.7,14007295.65
fhvhv,4,Thursday,12,567477,18429718.04,147331,567477,742534.12,15011853.87
fhvhv,4,Thursday,13,574839,18833053.58,149679,574839,757948.61,15347065.41
fhvhv,4,Thursday,14,610280,20444363.49,158729,610280,826872.0,16681526.66
fhvhv,4,Thursday,15,671255,23191718.34,175085,671255,940755.43,18948289.98
fhvhv,4,Thursday,16,741789,26350508.9,192979,741789,1063827.48,21561875.18
fhvhv,4,Thursday,17,886440,32019353.97,230718,886440,1291619.33,26221854.05
fhvhv,4,Thursday,18,909995,31821942.98,236411,909995,1285074.44,26015223.12
fhvhv,4,Thursday,19,803002,26197377.92,208855,803002,1054717.03,21342314.8
fhvhv,4,Thursday,20,682154,20683169.69,176937,682154,829091.05,16786835.2
fhvhv,4,Thursday,21,586067,16642561.8,151866,586067,662599.3,13460915.66
fhvhv,4,Thursday,22,478337,12905248.19,124360,478337,513294.74,10406422.37
fhvhv,4,Thursday,23,334466,8743990.69,87007,334466,348413.66,7034205.74
fhvhv,5,Friday,0,259117,6640862.75,67001,259117,262344.92,5337589.7
fhvhv,5,Friday,1,163210,4099277.25,42508,163210,163528.44,3289369.33
fhvhv,5,Friday,2,108573,2683422.97,28054,108573,105785.14,2153013.65
fhvhv,5,Friday,3,81790,2022785.49,21333,81790,80576.48,1621372.98
fhvhv,5,Friday,4,75486,1850203.23,19609,75486,73268.48,1481474.56
fhvhv,5,Friday,5,123287,3082679.85,32141,123287,122656.02,2472636.45
fhvhv,5,Friday,6,287084,7662450.02,74500,287084,306067.52,6174303.6
fhvhv,5,Friday,7,532912,15848637.97,138915,532912,634364.37,12851920.56
fhvhv,5,Friday,8,720787,23695544.9,187701,720787,954302.77,19312666.5
fhvhv,5,Friday,9,681026,22939557.99,176947,681026,923869.3,18720249.48
fhvhv,5,Friday,10,585465,19468938.62,152702,585465,786353.62,15876523.43
fhvhv,5,Friday,11,599417,19527285.13,155778,599417,785731.8,15909170.68
fhvhv,5,Friday,12,646793,20996338.98,168878,646793,848732.11,17099725.97
fhvhv,5,Friday,13,653883,21415095.69,170176,653883,862905.58,17451967.34
fhvhv,5,Friday,14,694066,23275928.16,180491,694066,938507.5,18993154.42
fhvhv,5,Friday,15,763307,26373723.38,198201,763307,1061008.22,21554058.56
fhvhv,5,Friday,16,845029,30015861.07,219714,845029,1210752.51,24562962.29
fhvhv,5,Friday,17,1007837,36419151.19,261862,1007837,1472854.47,29822923.32
fhvhv,5,Friday,18,1035982,36218412.19,270008,1035982,1466216.31,29604946.43
fhvhv,5,Friday,19,913627,29838528.53,237794,913627,1207231.5,24309000.66
fhvhv,5,Friday,20,776772,23609633.74,201742,776772,945675.94,19165709.48
fhvhv,5,Friday,21,668512,18974236.99,174183,668512,758576.53,15340367.95
fhvhv,5,Friday,22,544632,14672182.95,141400,544632,582781.1,11828231.47
fhvhv,5,Friday,23,381526,9970247.66,98781,381526,393662.45,8023109.76
fhvhv,6,Saturday,0,793009,20324418.76,205840,793009,805495.05,16331185.27
fhvhv,6,Saturday,1,698903,17525018.98,181341,698903,694677.31,14060115.78
fhvhv,6,Saturday,2,577793,14324626.87,150153,577793,565545.3,11486528.28
fhvhv,6,Saturday,3,417015,10287188.21,108165,417015,406475.3,8243807.23
fhvhv,6,Saturday,4,268628,6609503.85,69578,268628,261816.35,5295709.81
fhvhv,6,Saturday,5,174862,4381956.59,45393,174862,173475.11,3515716.31
fhvhv,6,Saturday,6,147669,3949840.94,38505,147669,158279.32,3180925.24
fhvhv,6,Saturday,7,187271,5586743.34,48440,187271,223489.05,4530126.99
fhvhv,6,Saturday,8,268333,8831634.47,69671,268333,354480.99,7199608.15
fhvhv,6,Saturday,9,389525,13138875.82,101001,389525,528068.49,10725842.32
fhvhv,6,Saturday,10,509280,16911097.51,132727,509280,682558.47,13788919.62
fhvhv,6,Saturday,11,616722,20083469.15,160620,616722,810574.94,16361232.54
fhvhv,6,Saturday,12,684790,22230884.58,178011,684790,894145.27,18108841.79
fhvhv,6,Saturday,13,711684,23297098.29,185737,711684,938968.17,18984996.28
fhvhv,6,Saturday,14,724760,24268247.01,189339,724760,985890.91,19792679.87
fhvhv,6,Saturday,15,738373,25519278.6,192569,738373,1031491.82,20850094.76
fhvhv,6,Saturday,16,752708,26756353.86,195785,752708,1082903.92,21890475.56
fhvhv,6,Saturday,17,790970,28601031.47,205511,790970,1153534.93,23422224.21
fhvhv,6,Saturday,18,804375,28097537.44,209198,804375,1138186.37,22962866.69
fhvhv,6,Saturday,19,777949,25371620.05,202326,777949,1023748.25,20669887.91
fhvhv,6,Saturday,20,738431,22385775.52,191705,738431,897376.38,18172019.43
fhvhv,6,Saturday,21,726636,20603035.71,189266,726636,823759.21,16657719.13
fhvhv,6,Saturday,22,752124,20276260.43,195739,752124,809780.55,16341729.85
fhvhv,6,Saturday,23,805413,21075005.95,209550,805413,839870.11,16956209.48
green,0,Sunday,0,1693,42468.87,1090,1173,4836.38,23181.86
green,0,Sunday,1,1452,36714.23,947,1020,4263.21,20608.99
green,0,Sunday,2,1195,29823.0,793,848,3490.58,16743.39
green,0,Sunday,3,877,22554.05,570,620,2560.49,12743.17
green,0,Sunday,4,566,13854.04,383,413,1635.62,7869.42
green,0,Sunday,5,366,9454.75,234,250,1028.07,4985.81
green,0,Sunday,6,282,8030.01,177,199,923.35,4787.96
green,0,Sunday,7,417,12052.04,283,292,1527.89,7035.76
green,0,Sunday,8,583,18857.19,386,411,2263.15,11030.47
green,0,Sunday,9,825,26477.73,532,571,3085.16,15074.66
green,0,Sunday,10,1081,34268.89,693,760,4035.13,20205.24
green,0,Sunday,11,1309,41594.77,841,909,4734.86,23740.64
green,0,Sunday,12,1438,45224.09,929,999,5213.02,25571.99
green,0,Sunday,13,1520,48164.7,968,1037,5723.52,27613.43
green,0,Sunday,14,1508,48738.09,988,1071,5615.64,28343.11
green,0,Sunday,15,1583,52134.67,1028,1121,5998.41,30184.95
green,0,Sunday,16,1562,53526.05,1027,1105,6374.06,31319.86
green,0,Sunday,17,1693,58773.81,1065,1157,6699.27,33382.4
green,0,Sunday,18,1727,58701.83,1128,1217,6939.0,33749.66
green,0,Sunday,19,1539,47869.45,986,1076,5631.66,27946.11
green,0,Sunday,20,1604,49157.02,1050,1146,5744.75,28773.63
green,0,Sunday,21,1541,43626.55,1003,1087,4903.13,24101.76
green,0,Sunday,22,1548,40999.86,998,1065,4668.83,22576.44
green,0,Sunday,23,1722,44799.21,1106,1193,4960.35,24619.22
green,1,Monday,0,538,14295.56,335,362,1625.2,7640.03
green,1,Monday,1,319,8218.38,206,230,946.63,4749.25
green,1,Monday,2,212,5327.51,144,149,659.42,2952.84
green,1,Monday,3,174,4461.13,108,122,457.61,2427.6
green,1,Monday,4,142,3342.44,95,102,371.16,1891.28
green,1,Monday,5,271,7573.29,181,193,831.58,4108.75
green,1,Monday,6,618,15930.42,421,461,1962.22,9622.37
green,1,Monday,7,1136,32053.38,738,794,3722.51,18364.94
green,1,Monday,8,1540,50110.64,966,1058,5801.98,28536.6
green,1,Monday,9,1337,43874.99,860,938,4999.01,25225.94
green,1,Monday,10,1251,41351.61,816,893,5013.09,24675.62
green,1,Monday,11,1223,36872.93,785,859,4143.95,21247.86
green,1,Monday,12,1337,42443.84,882,933,5180.88,24519.74
green,1,Monday,13,1371,45099.5,870,940,5113.19,25206.86
green,1,Monday,14,1443,46064.32,909,983,5365.81,25967.74
green,1,Monday,15,1561,51644.73,1002,1082,6074.94,29677.86
green,1,Monday,16,1640,56865.05,1063,1165,6523.06,32526.56
green,1,Monday,17,1992,73150.83,1259,1362,8196.88,40428.75
green,1,Monday,18,2156,74894.88,1381,1498,8412.82,41914.33
green,1,Monday,19,1888,59622.28,1186,1294,6544.26,32436.89
green,1,Monday,20,1643,49533.41,1058,1135,5736.66,27783.9
green,1,Monday,21,1398,40781.86,874,934,4516.78,21937.23
green,1,Monday,22,1152,31065.23,735,796,3544.9,17108.85
green,1,Monday,23,792,20793.82,493,534,2281.73,11258.64
green,2,Tuesday,0,585,15100.39,391,415,1819.5,8883.69
green,2,Tuesday,1,347,8390.42,231,244,965.47,4814.93
green,2,Tuesday,2,253,6330.1,166,179,746.34,3486.26
green,2,Tuesday,3,163,4188.55,100,107,436.77,2152.72
green,2,Tuesday,4,170,4169.36,107,118,466.25,2318.38
green,2,Tuesday,5,269,6876.16,171,192,803.52,4009.26
green,2,Tuesday,6,652,16679.19,409,444,1934.71,9366.1
green,2,Tuesday,7,1212,34736.4,773,837,3992.08,19538.76
green,2,Tuesday,8,1616,54584.43,1051,1158,6390.73,31940.02
green,2,Tuesday,9,1532,50979.16,1004,1085,6190.29,30533.32
green,2,Tuesday,10,1309,42254.42,855,920,4910.3,24291.03
green,2,Tuesday,11,1372,44703.35,900,966,5374.35,26258.3
green,2,Tuesday,12,1499,47674.36,945,1027,5638.54,27773.55
green,2,Tuesday,13,1488,47692.7,989,1046,5701.08,27731.06
green,2,Tuesday,14,1542,50450.67,988,1079,5825.68,28600.86
green,2,Tuesday,15,1707,58154.71,1094,1176,6740.9,33154.77
green,2,Tuesday,16,1959,68565.55,1260,1348,7765.97,37882.23
green,2,Tuesday,17,2235,78575.38,1437,1563,9005.46,44348.32
green,2,Tuesday,18,2353,80705.0,1517,1633,9508.57,45939.94
green,2,Tuesday,19,2134,69084.07,1316,1428,7532.62,37308.03
green,2,Tuesday,20,1800,54565.03,1124,1231,6148.37,30295.53
green,2,Tuesday,21,1520,43454.81,1010,1078,5028.0,24305.63
green,2,Tuesday,22,1178,31472.71,757,814,3600.34,17481.14
green,2,Tuesday,23,839,22341.04,536,584,2586.83,12368.4
green,3,Wednesday,0,628,16096.9,384,419,1809.4,8606.73
green,3,Wednesday,1,416,10110.18,249,268,1117.01,5254.24
green,3,Wednesday,2,268,7368.34,182,190,873.69,4075.71
green,3,Wednesday,3,190,4504.1,117,126,461.09,2355.14
green,3,Wednesday,4,173,4488.04,123,133,575.6,2793.45
green,3,Wednesday,5,278,7109.53,167,184,731.99,3765.55
green,3,Wednesday,6,680,17757.74,431,468,2055.56,10278.61
green,3,Wednesday,7,1249,36426.86,790,862,4184.15,20755.35
green,3,Wednesday,8,1701,53868.88,1138,1220,6661.95,32177.09
green,3,Wednesday,9,1626,52609.44,1004,1087,5930.71,29209.87
green,3,Wednesday,10,1365,43964.05,889,954,4953.85,25129.49
green,3,Wednesday,11,1428,46353.74,916,985,5535.37,27252.45
green,3,Wednesday,12,1537,49975.47,999,1078,5891.69,28909.12
green,3,Wednesday,13,1550,50509.37,982,1071,5729.41,28982.26
green,3,Wednesday,14,1630,51906.38,1059,1146,6263.91,30709.3
green,3,Wednesday,15,1790,58108.6,1113,1221,6676.74,32837.03
green,3,Wednesday,16,2018,70816.94,1286,1379,7974.51,38879.88
green,3,Wednesday,17,2344,83248.0,1555,1669,9943.53,47472.05
green,3,Wednesday,18,2533,87995.45,1633,1756,10080.13,49336.97
green,3,Wednesday,19,2202,72095.43,1382,1509,8255.85,41069.37
green,3,Wednesday,20,1818,53852.3,1139,1225,5970.31,28982.85
green,3,Wednesday,21,1544,43661.57,1009,1096,5014.84,24902.36
green,3,Wednesday,22,1321,34551.0,868,932,3976.75,19337.57
green,3,Wednesday,23,885,22721.96,551,600,2420.45,12351.94
green,4,Thursday,0,670,17094.28,427,462,1924.45,9492.64
green,4,Thursday,1,415,10120.11,261,286,1090.88,5530.58
green,4,Thursday,2,269,6971.4,199,204,898.91,4174.99
green,4,Thursday,3,197,4913.52,125,131,547.09,2686.69
green,4,Thursday,4,191,4717.79,130,135,607.16,2741.4
green,4,Thursday,5,293,7397.57,191,206,831.2,4220.97
green,4,Thursday,6,743,18915.87,475,508,2199.44,10744.13
green,4,Thursday,7,1290,38159.31,799,872,4398.06,21817.7
green,4,Thursday,8,1856,57257.1,1201,1283,6702.65,32563.82
green,4,Thursday,9,1773,56633.33,1119,1195,6441.54,30879.89
green,4,Thursday,10,1404,44214.44,902,987,5112.63,25685.47
green,4,Thursday,11,1528,49510.31,998,1081,5973.47,29170.27
green,4,Thursday,12,1666,51134.4,1103,1171,6058.87,29365.11
green,4,Thursday,13,1660,54443.12,1087,1157,6547.94,32010.33
green,4,Thursday,14,1786,55691.44,1115,1211,6243.18,30752.11
green,4,Thursday,15,2037,67688.34,1304,1401,7939.69,38793.89
green,4,Thursday,16,2127,76260.03,1420,1526,9122.67,43816.65
green,4,Thursday,17,2527,89577.79,1619,1756,10196.81,50512.72
green,4,Thursday,18,2719,92735.6,1744,1879,10577.07,52153.93
green,4,Thursday,19,2356,75919.47,1535,1646,8834.05,42717.45
green,4,Thursday,20,1922,57793.88,1213,1305,6456.77,31533.97
green,4,Thursday,21,1681,46759.16,1067,1159,5315.32,25934.37
green,4,Thursday,22,1391,37192.16,851,934,3944.22,20076.32
green,4,Thursday,23,1030,26702.54,663,711,2936.98,14461.29
green,5,Friday,0,771,20816.61,508,540,2376.58,11673.13
green,5,Friday,1,498,12628.04,310,343,1406.03,6937.37
green,5,Friday,2,279,7068.15,167,184,781.01,3733.42
green,5,Friday,3,239,6113.25,146,160,660.31,3220.68
green,5,Friday,4,223,5554.45,141,149,637.48,2990.29
green,5,Friday,5,363,9464.69,241,256,1051.16,5252.55
green,5,Friday,6,811,20772.31,513,556,2417.28,12076.04
green,5,Friday,7,1508,42766.48,936,1032,4878.14,24312.97
green,5,Friday,8,2058,64260.99,1340,1448,7596.22,37101.9
green,5,Friday,9,1975,62763.99,1260,1354,7295.82,35050.95
green,5,Friday,10,1672,52956.71,1112,1182,6313.03,30819.89
green,5,Friday,11,1738,56547.94,1165,1247,7011.2,34119.8
green,5,Friday,12,1769,56607.75,1120,1222,6691.23,32886.02
green,5,Friday,13,1855,58522.63,1192,1291,6888.87,33664.3
green,5,Friday,14,1992,61965.21,1287,1378,7255.99,35201.22
green,5,Friday,15,2241,76091.25,1457,1568,8961.85,44532.72
green,5,Friday,16,2451,84879.0,1582,1711,9752.32,47786.3
green,5,Friday,17,2801,97837.96,1795,1951,10972.27,54076.41
green,5,Friday,18,3019,105198.61,1939,2097,11886.67,58490.7
green,5,Friday,19,2659,85262.12,1732,1876,9755.48,48285.47
green,5,Friday,20,2342,70055.32,1517,1635,8093.6,39518.67
green,5,Friday,21,1957,55489.58,1245,1347,6330.82,30992.5
green,5,Friday,22,1574,43981.6,992,1077,4871.42,24217.02
green,5,Friday,23,1087,28506.75,700,766,3242.59,16046.92
green,6,Saturday,0,2282,58712.35,1473,1581,6691.09,32301.84
green,6,Saturday,1,2002,50248.25,1287,1374,5611.4,27296.7
green,6,Saturday,2,1689,42050.31,1096,1202,4733.07,23910.94
green,6,Saturday,3,1182,29669.32,763,816,3354.15,16264.8
green,6,Saturday,4,802,19844.87,524,565,2252.58,10960.33
green,6,Saturday,5,490,11991.98,327,356,1386.21,6879.63
green,6,Saturday,6,434,11995.83,259,293,1400.27,6888.42
green,6,Saturday,7,562,17155.54,389,413,2178.57,10271.45
green,6,Saturday,8,748,23245.96,477,520,2564.58,13173.61
green,6,Saturday,9,1119,35983.66,703,763,4232.04,20788.28
green,6,Saturday,10,1513,49681.29,953,1035,5730.86,28455.59
green,6,Saturday,11,1800,54597.03,1130,1243,6132.23,30690.72
green,6,Saturday,12,1885,58822.61,1209,1307,6628.86,33437.35
green,6,Saturday,13,2171,69146.03,1407,1519,8253.92,40505.43
green,6,Saturday,14,2091,68490.67,1378,1480,8248.5,40166.17
green,6,Saturday,15,2115,70894.27,1362,1468,8340.94,40982.68
green,6,Saturday,16,2210,73524.2,1348,1463,8210.91,40462.51
green,6,Saturday,17,2197,76399.37,1416,1521,8771.24,43493.63
green,6,Saturday,18,2315,75663.02,1510,1630,8993.54,43848.18
green,6,Saturday,19,2252,70304.2,1463,1588,8349.14,40994.15
green,6,Saturday,20,2114,61025.37,1355,1476,7004.5,34812.69
green,6,Saturday,21,2094,59981.52,1338,1454,6817.41,34022.35
green,6,Saturday,22,2116,56618.7,1355,1480,6402.0,31982.57
green,6,Saturday,23,2300,59451.71,1475,1600,6737.29,32937.46
yellow,0,Sunday,0,91177,2298148.58,58600,63337,228368.38,1120327.59
yellow,0,Sunday,1,80800,2008231.48,51717,55947,198002.65,973563.19
yellow,0,Sunday,2,66056,1625135.75,42478,45970,160652.73,791289.4
yellow,0,Sunday,3,47967,1178537.14,30757,33306,116013.39,570048.11
yellow,0,Sunday,4,30915,756673.46,19767,21358,74436.83,365900.71
yellow,0,Sunday,5,20074,493291.77,13086,14091,49121.74,239912.74
yellow,0,Sunday,6,17076,434391.69,10981,11846,44248.8,217393.8
yellow,0,Sunday,7,21669,596595.42,13928,15035,61670.54,302326.77
yellow,0,Sunday,8,30806,916494.54,19758,21381,96237.5,471985.38
yellow,0,Sunday,9,44917,1355266.41,28966,31303,143745.96,704236.93
yellow,0,Sunday,10,58513,1743493.72,37612,40651,183693.5,902408.27
yellow,0,Sunday,11,71627,2118490.26,46106,49922,222421.63,1095775.96
yellow,0,Sunday,12,79500,2331462.81,51211,55290,245150.17,1200983.04
yellow,0,Sunday,13,82536,2446563.87,53219,57402,258005.37,1264480.31
yellow,0,Sunday,14,84055,2541769.14,54029,58386,267806.34,1314515.39
yellow,0,Sunday,15,85114,2631904.2,54648,59089,278193.67,1362593.04
yellow,0,Sunday,16,86912,2746638.26,55775,60283,289700.11,1428036.5
yellow,0,Sunday,17,91292,2905023.63,58877,63602,310042.18,1524140.8
yellow,0,Sunday,18,92734,2878350.96,59731,64541,305219.77,1498344.1
yellow,0,Sunday,19,90043,2653931.63,57770,62522,277436.2,1362974.28
yellow,0,Sunday,20,84737,2420845.46,54530,58914,247831.53,1214073.81
yellow,0,Sunday,21,83323,2263953.83,53556,57838,228989.34,1123419.55
yellow,0,Sunday,22,87105,2272395.87,55945,60471,227215.49,1115638.4
yellow,0,Sunday,23,92575,2370083.26,59834,64681,237233.67,1165637.52
yellow,1,Monday,0,29272,738980.44,18909,20412,73657.05,361468.57
yellow,1,Monday,1,18211,452990.04,11801,12765,45122.38,222078.55
yellow,1,Monday,2,12180,301379.43,7870,8515,29907.75,147933.38
yellow,1,Monday,3,9290,228096.51,5974,6470,22604.75,110783.27
yellow,1,Monday,4,8509,207301.52,5529,5943,20677.15,100470.09
yellow,1,Monday,5,13594,336917.5,8658,9375,33080.96,162856.19
yellow,1,Monday,6,32059,815895.56,20675,22313,83331.22,409438.76
yellow,1,Monday,7,59648,1644561.92,38419,41551,170013.22,837961.65
yellow,1,Monday,8,80960,2406382.79,51968,56244,251646.4,1240534.18
yellow,1,Monday,9,76668,2312179.91,49319,53310,243791.61,1199664.76
yellow,1,Monday,10,65872,1961320.64,42436,45886,206149.04,1015767.8
